Target,Short,Long,Events,Days,Avg_Weight,Max_Weight,Caught,Start_Hits,_s_days,_s_drop,_l_days,_l_drop
Index 1 (Eco),5d -3.0%,7d -8.0%,10,28,5.01,11.78,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:6; 2024 Ueda:18; 2025 Tariff:23,5,-0.03,7,-0.08
Index 1 (Eco),5d -3.0%,7d -6.0%,24,59,5.39,15.71,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:21; 2024 Ueda:46; 2025 Tariff:53,5,-0.03,7,-0.06
Index 1 (Eco),5d -3.0%,7d -4.0%,43,116,5.94,23.57,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:46; 2024 Ueda:93; 2025 Tariff:108,5,-0.03,7,-0.04
Index 1 (Eco),5d -3.0%,7d -3.0%,49,143,7.12,31.43,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:57; 2024 Ueda:119; 2025 Tariff:135,5,-0.03,7,-0.03
Index 1 (Eco),5d -3.0%,7d -2.5%,59,156,8.22,37.71,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:64; 2024 Ueda:131; 2025 Tariff:147,5,-0.03,7,-0.025
Index 1 (Eco),5d -3.0%,7d -2.0%,67,172,9.76,47.14,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:71; 2024 Ueda:144; 2025 Tariff:163,5,-0.03,7,-0.02
Index 1 (Eco),5d -3.0%,7d -10.0%,7,14,5.52,9.43,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:3; 2024 Ueda:9; 2025 Tariff:10,5,-0.03,7,-0.1
Index 1 (Eco),5d -3.0%,10d -8.0%,13,28,5.23,11.5,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:8; 2024 Ueda:20; 2025 Tariff:23,5,-0.03,10,-0.08
Index 1 (Eco),5d -3.0%,10d -6.0%,27,53,5.83,15.34,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:22; 2024 Ueda:38; 2025 Tariff:47,5,-0.03,10,-0.06
Index 1 (Eco),5d -3.0%,10d -4.0%,36,95,6.39,23.01,"2020 Covid, 2024 Ueda, 2025 Tariff",2020 Covid:41; 2024 Ueda:74; 2025 Tariff:87,5,-0.03,10,-0.04
