Short_Cond,Long_Cond,Count,Avg_Weight,Max_Weight,Caught
3d -4%,10d -8%,63,17.1,32.79,"2020 Covid, 2024 Ueda"
3d -3%,10d -8%,84,16.43,32.79,"2020 Covid, 2024 Ueda"
3d -2%,10d -8%,97,16.09,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,20d -8%,58,16.06,32.79,"2020 Covid, 2025 Tariff"
5d -4%,10d -8%,104,15.91,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -7%,79,15.86,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,10d -8%,121,15.69,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,10d -8%,114,15.68,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -6%,88,15.28,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,20d -7%,75,15.14,32.79,"2020 Covid, 2025 Tariff"
3d -4%,20d -6%,76,15.14,32.79,"2020 Covid, 2025 Tariff"
5d -4%,20d -8%,102,15.05,32.79,"2020 Covid, 2025 Tariff"
3d -3%,10d -7%,104,14.89,32.79,"2020 Covid, 2025 Tariff"
3d -3%,20d -8%,90,14.85,32.79,"2020 Covid, 2025 Tariff"
3d -4%,20d -5%,85,14.81,32.79,"2020 Covid, 2025 Tariff"
5d -3%,20d -8%,120,14.76,32.79,"2020 Covid, 2025 Tariff"
5d -4%,10d -7%,124,14.72,32.79,"2020 Covid, 2025 Tariff"
3d -2%,10d -7%,121,14.61,32.79,"2020 Covid, 2025 Tariff"
5d -3%,10d -7%,140,14.5,32.79,"2020 Covid, 2025 Tariff"
5d -2%,20d -8%,135,14.5,32.79,"2020 Covid, 2025 Tariff"
5d -4%,20d -7%,122,14.46,32.79,"2020 Covid, 2025 Tariff"
3d -4%,10d -5%,101,14.44,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,20d -8%,117,14.32,32.79,"2020 Covid, 2025 Tariff"
3d -3%,10d -6%,120,14.3,32.79,"2020 Covid, 2025 Tariff"
5d -2%,10d -7%,153,14.28,32.79,"2020 Covid, 2025 Tariff"
3d -3%,20d -7%,112,14.22,32.79,"2020 Covid, 2025 Tariff"
5d -3%,20d -7%,143,14.14,32.79,"2020 Covid, 2025 Tariff"
5d -4%,10d -6%,146,14.08,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,20d -6%,134,14.08,32.79,"2020 Covid, 2025 Tariff"
3d -2%,10d -6%,142,13.95,32.79,"2020 Covid, 2025 Tariff"
5d -2%,20d -7%,159,13.95,32.79,"2020 Covid, 2025 Tariff"
5d -3%,10d -6%,166,13.82,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,20d -6%,121,13.81,32.79,"2020 Covid, 2025 Tariff"
3d -2%,20d -7%,143,13.68,32.79,"2020 Covid, 2025 Tariff"
5d -4%,20d -5%,150,13.65,32.79,"2020 Covid, 2025 Tariff"
5d -3%,20d -6%,163,13.56,32.79,"2020 Covid, 2025 Tariff"
5d -2%,10d -6%,186,13.52,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -5%,144,13.36,32.79,"2020 Covid, 2025 Tariff"
5d -2%,20d -6%,183,13.36,32.79,"2020 Covid, 2025 Tariff"
5d -4%,10d -5%,170,13.35,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,20d -5%,137,13.29,32.79,"2020 Covid, 2025 Tariff"
3d -2%,20d -6%,156,13.26,32.79,"2020 Covid, 2025 Tariff"
5d -3%,10d -5%,195,13.05,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,20d -5%,184,13.03,32.79,"2020 Covid, 2025 Tariff"
3d -2%,10d -5%,174,12.97,32.79,"2020 Covid, 2025 Tariff"
5d -2%,10d -5%,216,12.84,32.79,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,20d -5%,211,12.67,32.79,"2020 Covid, 2025 Tariff"
3d -2%,20d -5%,185,12.45,32.79,"2020 Covid, 2025 Tariff"
