Short_Cond,Long_Cond,Events,Days,Days_per_Event,Avg_Weight,Max_Weight,Caught
3d -1%,10d -1%,134,306,2.28,26.49,158.39,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -1%,84,180,2.14,33.82,168.37,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -3%,65,176,2.71,12.01,52.8,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -4%,45,131,2.91,10.14,39.6,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -3%,54,122,2.26,14.63,56.12,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -1%,53,103,1.94,40.62,224.46,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -5%,37,101,2.73,9.07,31.68,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -4%,40,96,2.4,12.34,42.09,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -5%,35,75,2.14,11.21,33.67,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -6%,32,73,2.28,9.69,26.4,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -3%,35,73,2.09,17.29,74.82,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -1%,37,67,1.81,48.82,224.46,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -4%,31,63,2.03,14.2,56.12,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -6%,30,55,1.83,11.06,28.06,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -5%,26,50,1.92,12.72,44.89,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -3%,25,50,2.0,19.95,74.82,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -4%,25,46,1.84,16.05,56.12,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -7%,21,44,2.1,10.06,22.63,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -6%,21,38,1.81,12.25,37.41,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -5%,22,37,1.68,14.54,44.89,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -7%,18,34,1.89,10.87,24.05,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -1%,10d -8%,14,32,2.29,9.34,19.8,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -6%,17,29,1.71,13.45,37.41,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -8%,12,27,2.25,9.72,21.05,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -7%,12,24,2.0,12.14,32.07,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -8%,9,21,2.33,10.83,28.06,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -7%,8,18,2.25,13.34,32.07,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -8%,6,16,2.67,12.01,28.06,"2020 Covid, 2024 Ueda, 2025 Tariff"
