Code,Status,Total_Days,Missing_Close,Missing_MC_Final,Missing_Shares_Raw
19250,Partial Missing (1 days),2189,1,1,2152
19280,Partial Missing (1 days),2189,1,1,2152
25020,Partial Missing (1 days),2189,1,1,2153
25030,Partial Missing (1 days),2189,1,1,2153
28020,Partial Missing (1 days),2189,1,1,2154
29140,Partial Missing (1 days),2189,1,1,2154
33820,Partial Missing (1 days),2189,1,1,2152
34070,Partial Missing (1 days),2189,1,1,2153
40630,Partial Missing (1 days),2189,1,1,2154
41880,Partial Missing (1 days),2189,1,1,2154
43070,Partial Missing (1 days),2189,1,1,2154
44520,Partial Missing (1 days),2189,1,1,2153
45020,Partial Missing (1 days),2189,1,1,2152
45030,Partial Missing (1 days),2189,1,1,2154
45070,Partial Missing (1 days),2189,1,1,2152
45190,Partial Missing (1 days),2189,1,1,2154
45430,Partial Missing (1 days),2189,1,1,2152
45680,Partial Missing (1 days),2189,1,1,2154
45780,Partial Missing (1 days),2189,1,1,2154
46610,Partial Missing (1 days),2189,1,1,2154
46890,Partial Missing (1 days),2189,1,1,2152
49010,Partial Missing (1 days),2189,1,1,2153
50200,Partial Missing (1 days),2189,1,1,2154
51080,Partial Missing (1 days),2189,1,1,2154
54010,Partial Missing (111 days),2189,1,111,2159
58020,Partial Missing (1 days),2189,1,1,2153
58030,Partial Missing (1 days),2189,1,1,2153
60980,Partial Missing (1 days),2189,1,1,2153
61460,Partial Missing (121 days),2189,1,121,2173
61780,Partial Missing (1 days),2189,1,1,2155
62010,Partial Missing (1 days),2189,1,1,2153
62730,Partial Missing (1 days),2189,1,1,2154
63010,Partial Missing (1 days),2189,1,1,2155
63260,Partial Missing (1 days),2189,1,1,2152
63670,Partial Missing (1 days),2189,1,1,2154
65010,Partial Missing (1 days),2189,1,1,2162
65030,Partial Missing (1 days),2189,1,1,2152
67010,Partial Missing (1 days),2189,1,1,2154
67020,Partial Missing (1 days),2189,1,1,2154
67230,Partial Missing (1 days),2189,1,1,2151
67520,Partial Missing (1 days),2189,1,1,2153
67580,Partial Missing (1 days),2189,1,1,2155
67620,Partial Missing (1 days),2189,1,1,2152
68570,Partial Missing (1 days),2189,1,1,2156
68610,Partial Missing (1 days),2189,1,1,2155
69020,Partial Missing (1 days),2189,1,1,2155
69200,Partial Missing (1 days),2189,1,1,2154
69540,Partial Missing (1 days),2189,1,1,2154
69710,Partial Missing (1 days),2189,1,1,2154
69810,Partial Missing (1 days),2189,1,1,2156
70110,Partial Missing (1 days),2189,1,1,2157
71820,Partial Missing (1 days),2189,1,1,2153
72030,Partial Missing (1 days),2189,1,1,2152
72670,Partial Missing (1 days),2189,1,1,2155
72690,Partial Missing (1 days),2189,1,1,2152
72700,Partial Missing (1 days),2189,1,1,2157
73090,Partial Missing (1 days),2189,1,1,2153
77330,Partial Missing (1 days),2189,1,1,2152
77410,Partial Missing (1 days),2189,1,1,2154
77510,Partial Missing (1 days),2189,1,1,2154
78320,Partial Missing (1 days),2189,1,1,2153
79360,Partial Missing (1 days),2189,1,1,2154
79740,Partial Missing (1 days),2189,1,1,2155
80010,Partial Missing (1 days),2189,1,1,2152
80020,Partial Missing (1 days),2189,1,1,2153
80150,Partial Missing (1 days),2189,1,1,2154
80310,Partial Missing (1 days),2189,1,1,2153
80350,Partial Missing (1 days),2189,1,1,2159
80530,Partial Missing (1 days),2189,1,1,2153
80580,Partial Missing (1 days),2189,1,1,2152
81130,Partial Missing (1 days),2189,1,1,2153
82670,Partial Missing (1 days),2189,1,1,2153
83060,Partial Missing (1 days),2189,1,1,2151
83080,Partial Missing (1 days),2189,1,1,2154
83090,Partial Missing (1 days),2189,1,1,2154
83160,Partial Missing (1 days),2189,1,1,2152
84110,Partial Missing (1 days),2189,1,1,2156
85910,Partial Missing (1 days),2189,1,1,2154
86040,Partial Missing (1 days),2189,1,1,2150
86300,Partial Missing (1 days),2189,1,1,2153
86970,Partial Missing (1 days),2189,1,1,2154
87250,Partial Missing (1 days),2189,1,1,2153
87290,OK,1118,0,0,1099
87500,Partial Missing (1 days),2189,1,1,2152
87660,Partial Missing (1 days),2189,1,1,2152
88010,Partial Missing (1 days),2189,1,1,2153
88020,Partial Missing (1 days),2189,1,1,2153
88300,Partial Missing (1 days),2189,1,1,2153
90200,Partial Missing (1 days),2189,1,1,2156
90210,Partial Missing (1 days),2189,1,1,2156
90220,Partial Missing (1 days),2189,1,1,2153
91010,Partial Missing (1 days),2189,1,1,2154
91040,Partial Missing (1 days),2189,1,1,2155
92020,Partial Missing (1 days),2189,1,1,2154
94320,Partial Missing (1 days),2189,1,1,2155
94330,Partial Missing (1 days),2189,1,1,2153
94340,Partial Missing (1 days),1478,1,1,1454
97350,Partial Missing (1 days),2189,1,1,2153
99830,Partial Missing (1 days),2189,1,1,2152
99840,Partial Missing (1 days),2189,1,1,2152
