Short,Long,Count,Rate,Caught_Events
5d -2%,7d -5%,85,3.49%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,7d -5%,85,3.49%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,10d -5%,79,3.25%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,10d -5%,74,3.04%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,7d -5%,72,2.96%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -5%,68,2.79%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,7d -6%,65,2.67%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,10d -6%,65,2.67%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,7d -5%,65,2.67%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,7d -5%,63,2.59%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,7d -6%,62,2.55%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,10d -6%,60,2.47%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,10d -5%,60,2.47%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,7d -6%,56,2.30%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,7d -7%,55,2.26%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,7d -7%,54,2.22%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,10d -5%,52,2.14%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,7d -6%,52,2.14%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -6%,51,2.10%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,7d -5%,51,2.10%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,7d -6%,49,2.01%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,7d -7%,49,2.01%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,10d -6%,48,1.97%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -5%,46,1.89%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,7d -7%,45,1.85%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,10d -6%,44,1.81%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,7d -7%,42,1.73%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,7d -5%,41,1.69%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,10d -7%,40,1.64%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,10d -7%,40,1.64%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,7d -6%,38,1.56%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -6%,38,1.56%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -5%,35,1.44%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,7d -5%,35,1.44%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,7d -8%,35,1.44%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,7d -8%,34,1.40%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,7d -7%,33,1.36%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,7d -8%,31,1.27%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,10d -7%,31,1.27%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -3%,10d -8%,31,1.27%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,10d -7%,31,1.27%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -7%,30,1.23%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,7d -8%,30,1.23%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,7d -6%,30,1.23%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -2%,10d -8%,29,1.19%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,7d -8%,29,1.19%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,10d -5%,29,1.19%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -6%,29,1.19%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,7d -6%,26,1.07%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -4%,10d -8%,25,1.03%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,7d -7%,25,1.03%,"2020 Covid, 2024 Ueda, 2025 Tariff"
5d -5%,10d -8%,25,1.03%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -2%,10d -8%,25,1.03%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -7%,24,0.99%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,7d -8%,24,0.99%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,10d -6%,24,0.99%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,7d -7%,22,0.90%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -3%,10d -8%,21,0.86%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,7d -8%,19,0.78%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -7%,18,0.74%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,7d -8%,17,0.70%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -4%,10d -8%,16,0.66%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,10d -7%,14,0.58%,"2020 Covid, 2024 Ueda, 2025 Tariff"
3d -5%,10d -8%,13,0.53%,"2020 Covid, 2025 Tariff"
