Date,target,code,NetSales,OperatingProfit,Profit,TotalAssets,Equity,ROE,SelfCapitalRatio
2023-08-10,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-14,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-15,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-16,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-17,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-18,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-21,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-22,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-23,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-24,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-25,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-28,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-29,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-30,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-08-31,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-01,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-04,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-05,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-06,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-07,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-08,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-11,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-12,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-13,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-14,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-15,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
2023-09-19,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,-0.11941117160029822,0.05415247387717576
