Date,Close,target,code,NetSales,OperatingProfit,Profit,TotalAssets,Equity,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,ROE,SelfCapitalRatio
2023-08-01,560.0,1,4755,,,,,,,,
2023-08-02,563.9,0,4755,,,,,,,,
2023-08-03,543.0,1,4755,,,,,,,,
2023-08-04,560.6,0,4755,,,,,,,,
2023-08-07,564.2,0,4755,,,,,,,,
2023-08-08,558.7,1,4755,,,,,,,,
2023-08-09,565.5,0,4755,,,,,,,,
2023-08-10,561.3,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-14,581.2,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-15,574.0,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-16,560.3,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-17,535.5,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-18,535.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-21,539.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-22,553.6,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-23,550.5,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-24,548.3,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-25,543.6,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-28,551.2,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-29,567.0,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-30,570.2,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-08-31,568.3,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-01,572.7,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-04,575.5,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-05,574.8,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-06,585.8,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-07,574.9,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-08,572.3,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-11,576.8,1,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-12,600.1,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-13,595.6,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-14,609.1,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-15,617.3,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-19,620.1,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-20,615.6,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-21,628.2,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
2023-09-22,620.3,0,4755,972800000000.0,-125087000000.0,-139985000000.0,21648023000000.0,1172294000000.0,2138419700.0,-0.11941117160029822,0.05415247387717576
